loan_id,date,customer_age,total_paid,total_due_today,balance,days_past_due,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d
recYSas5r7PAloS6y,3/31/2025,303,9739,39759.0,36340.0,261,36340.0,0.0,-30020.0,30020.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,6/1/2024,Y LOAN,,,0,4999.0,790.0,7/13/2024,4/5/2025,0.0,0.0,7/8/2024,5789,9739
rec9XEa1g7eVo0XW9,3/31/2025,6,17439,15799.0,82000.0,0,82000.0,1640.0,1640.0,0.0,advance,0,0.0,0,0,New Active,Active,None,3/25/2025,Y LOAN,,,0,14159.0,1640.0,4/8/2025,4/1/2025,0.0,0.0,12/29/2025,15799,17439
rectx4v04Pn7ZpRCj,3/31/2025,33,21059,21059.0,72380.0,0,72380.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,2/26/2025,Y LOAN,,,0,13359.0,1540.0,4/2/2025,4/2/2025,0.0,0.0,12/23/2025,14899,21059
recu5RsN4AY2Kol3d,3/31/2025,465,6539,45039.0,38500.0,451,38500.0,0.0,-38500.0,38500.0,Arrears,0,0.0,0,0,First Month Default without inventory over 30,FMD,None,12/22/2023,Y LOAN,,,0,4999.0,770.0,1/5/2024,4/4/2025,0.0,0.0,12/29/2023,5769,6539
recftqqyVLzBItZmS,3/31/2025,550,29999,29999.0,0.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,None,9/28/2023,Y CASH,,,0,6999.0,790.0,10/5/2023,4/3/2025,0.0,0.0,9/28/2023,29999,29999
rec1BhVgHVwG4Xdbp,3/31/2025,49,17999,29199.0,81600.0,42,81600.0,0.0,-11200.0,11200.0,Arrears,0,1600.0,0,0,First Payment Default,FPD,None,2/10/2025,Y LOAN,,,0,16399.0,1600.0,2/17/2025,4/7/2025,0.0,0.0,2/10/2025,17999,17999
rec646tdVGkn68L5A,3/31/2025,121,20179,20879.0,29940.0,0,0.0,0.0,-700.0,700.0,Arrears,0,0.0,0,0,Existing Active,Active,None,11/30/2024,Y LOAN,,,0,5399.0,860.0,3/29/2025,4/5/2025,0.0,0.0,11/22/2025,6259,20179
recXWrUvPiSeLo5wN,3/31/2025,271,62219,62319.0,18040.0,0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Existing Active,Active,None,7/3/2024,Y LOAN,,,0,8499.0,1380.0,3/26/2025,4/2/2025,0.0,0.0,6/21/2025,9879,62219
recyHYkTmvL7qIbz6,3/31/2025,28,9799,15079.0,67320.0,21,67320.0,0.0,-5280.0,5280.0,Arrears,0,1320.0,0,0,First Payment Default,FPD,None,3/3/2025,Y LOAN,,,0,8479.0,1320.0,3/10/2025,4/7/2025,0.0,0.0,3/3/2025,9799,9799
recR9ExMjEZq5O6ca,3/31/2025,304,40099,66579.0,37040.0,143,37040.0,0.0,-26480.0,26480.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,5/31/2024,Y LOAN,,,0,8499.0,1320.0,11/8/2024,4/4/2025,0.0,0.0,11/10/2024,9819,40099
